類別,中文品名,英文品名,使用食品範圍及限量,使用限制,規格,類別說明
"(八) 營養添加劑","L-脯胺酸","L-Proline","本品可於各類食品中視實際需要適量使用。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","L-絲胺酸","L-Serine","本品可於各類食品中視實際需要適量使用。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","DL-絲胺酸","DL-Serine","本品可於特殊營養食品中視實際需要適量使用。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","L-酪胺酸","L-Tyrosine","本品可於各類食品中視實際需要適量使用。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","L-胱胺酸","L-Cystine","本品可於特殊營養食品中視實際需要適量使用。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","L-醋酸離胺酸","L-Lysine Acetate","本品可於特殊營養食品中視實際需要適量使用。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","醋酸鋅","Zinc Acetate","1.形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其鋅之總含量不得高於30 mg。2.本品可於特殊營養食品中視實際需要適量使用。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","檸檬酸銅","Cupric Citrate","1.形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其銅之總含量不得高於8 mg。2.本品可於特殊營養食品中視實際需要適量使用。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","葡萄糖酸鎂","Magnesium Gluconate","1.形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其鎂之總含量不得高於600 mg。2.本品可於特殊營養食品中視實際需要適量使用。","限於補充食品中不足之營養素時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/268\08105葡萄糖酸鎂Magnesium Gluconate.doc","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","氫氧化鎂","Magnesium Hydroxide","1.形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其鎂之總含量不得高於600 mg。2.本品可於特殊營養食品中視實際需要適量使用。","限於補充食品中不足之營養素時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/269\08106氫氧化鎂Magnesium Hydroxide.doc","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
